reach,cfs,hab,site,terrain,rest_desc,rest_type,n_rest_features,size,lin_ft,terr_sq_ft,terr_ac,terr_less_rest,terr_inund_notes
San Acacia,5000,1.1,100,AB,1 backwater,Backwater,1,1.4,441,46810,4.3,3.2,
San Acacia,6000,1.4,100,AB,1 backwater,Backwater,1,1.4,441,98775,9.1,7.7,
San Acacia,7000,1.4,100,AB,1 backwater,Backwater,1,1.4,441,136078,12.5,11.1,
San Acacia,0,0,100,PR,1 backwater,Backwater,1,1.4,441,0,0,0,
San Acacia,800,0,100,PR,1 backwater,Backwater,1,1.4,441,0,0,0,
San Acacia,1000,0.3,100,PR,1 backwater,Backwater,1,1.4,441,12336,0.3,0,
San Acacia,2000,0.6,100,PR,1 backwater,Backwater,1,1.4,441,25280,0.6,0,
San Acacia,2780,0.8,100,PR,1 backwater,Backwater,1,1.4,441,35916,0.8,0,
San Acacia,4000,0.9,100,PR,1 backwater,Backwater,1,1.4,441,41281,0.9,0,
San Acacia,5000,1.1,100,PR,1 backwater,Backwater,1,1.4,441,185551,4.3,3.2,
San Acacia,6000,1.4,100,PR,1 backwater,Backwater,1,1.4,441,402499,9.2,7.8,
San Acacia,7000,1.4,100,PR,1 backwater,Backwater,1,1.4,441,558904,12.8,11.4,
San Acacia,0,0,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,0,0,0,
San Acacia,800,0,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,0,0,0,
San Acacia,1000,0.1,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,1518,0.1,0,
San Acacia,2000,1.4,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,17361,1.6,0.2,
San Acacia,2780,7,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,142890,13.1,6.1,
San Acacia,4000,7.7,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,298558,27.4,19.7,
San Acacia,5000,8.1,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,324678,29.8,21.7,
San Acacia,6000,8.2,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,332317,30.5,22.3,
San Acacia,7000,8.2,100.5,AB,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,337709,31,22.8,
San Acacia,0,0,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,0,0,0,
San Acacia,800,0,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,0,0,0,
San Acacia,1000,0.1,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,4743,0.1,0,
San Acacia,2000,1.1,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,54688,1.3,0.2,
San Acacia,2780,6.7,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,643120,14.8,8.1,
San Acacia,4000,7.8,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,1200754,27.6,19.8,
San Acacia,5000,8.1,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,1297829,29.8,21.7,
San Acacia,6000,8.1,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,1326146,30.4,22.3,
San Acacia,7000,8.2,100.5,PR,3 backwaters that become attached at higher discharges,Backwater,3,8.2,1616,1347648,30.9,22.7,
San Acacia,0,0,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,0,This site says floodplain NA(?)
San Acacia,300,0,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,0,
San Acacia,500,0.1,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-0.1,
San Acacia,1000,2,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-2,
San Acacia,2000,3.1,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-3.1,
San Acacia,2780,3.6,103,AB,5 embayments that connect as side channels,Embayment,5,10.5,3217,0,0,-3.6,
