Date,Color,Side,Location,Number,Agency,Facility,Lot Number,Source of fish,Age,SL (mm),Release,Reach,Notes,Mark,C,L,S,Year,RM,lat,long,Truck temp,Comments
11/25/13,pink,right,predorsal,"12,500",FRO,Dexter,DX13CS,,0,60,North Boundary BDANWR,3,hard release,PRD 2013,P,R,D,2013,86.5,33.872501,-106.849041,,
11/25/13,pink,right,predorsal,"12,500",FRO,Dexter,DX13CS,,0,60,Mid-BDANWR,3,hard release,PRD 2013,P,R,D,2013,80.4,33.793823,-106.867004,,
11/25/13,pink,right,predorsal,"12,500",FRO,Dexter,DX13CS,,0,60,San Marcial,3,hard release,PRD 2013,P,R,D,2013,67.5,33.680714,-106.992979,,
10/9/14,yellow,left,predorsal,"40,325",FRO,Dexter,DX14CS,,0,55,Santa Ana Pueblo,1,hard release,YLD 2014,Y,L,D,2014,207.3,35.361835,-106.515229,,
10/9/14,yellow,left,predorsal,"40,325",FRO,Dexter,DX14CS,,0,55,Sandia Pueblo,1,hard release,YLD 2014,Y,L,D,2014,197.8,35.263284,-106.595205,,
10/9/14,green,left,predorsal,"4,305",FRO,LLSMR,DX14CS,captive spawn,0,,Alameda Bridge,1,"hard release, 100 used in cage survival study",GLD 2014,G,L,D,2014,191.1,35.193578,-106.644815,,
10/9/14,white,left,predorsal,"1,222",FRO,Abq,ABP14-004,captive spawn,0,,Alameda Bridge,1,"hard release, 100 used in cage survival study",WLD 2014,W,L,D,2014,191.1,35.193578,-106.644815,,
11/10/14,green,left,predorsal,"5,513",FRO,LLSMR,DX14CS,captive spawn,0,,Los Lunas,2,hard release,GLD 2014,G,L,D,2014,161.5,34.807714,-106.715694,,
11/10/14,white,left,predorsal,"24,245",FRO,Abq,ABP14-004,captive spawn,0,,Jarales Bridge,2,hard release,WLD 2014,W,L,D,2014,141.3,34.544047,-106.763675,,
11/10/14,yellow,left,predorsal,"22,000",FRO,Dexter,DX14CS,captive spawn,0,56,Sabinal Drain Outfall,2,hard release,YLD 2014,Y,L,D,2014,138.3,34.515528,-106.79369,,
11/10/14,yellow,left,predorsal,"21,356",FRO,Dexter,DX14CS,captive spawn,0,56,Peralta Wasteway Outfall,2,hard release,YLD 2014,Y,L,D,2014,152.7,34.68941,-106.743757,,
11/10/14,yellow,left,predorsal,"15,000",FRO,Dexter,DX14CS,captive spawn,0,56,Escondida,3,hard release,YLD 2014,Y,L,D,2014,104.8,34.119931,-106.886929,,
11/10/14,yellow,left,predorsal,"15,000",FRO,Dexter,DX14CS,captive spawn,0,56,Socorro,3,hard release,YLD 2014,Y,L,D,2014,101.6,34.079163,-106.867126,,
11/10/14,yellow,left,predorsal,"15,000",FRO,Dexter,DX14CS,captive spawn,0,56,Brown's Arroyo,3,hard release,YLD 2014,Y,L,D,2014,95.7,34.001404,-106.870411,,
11/10/14,yellow,left,predorsal,"16,797",FRO,Dexter,DX14CS,captive spawn,0,56,North Boundary BDANWR,3,hard release,YLD 2014,Y,L,D,2014,86.5,33.872501,-106.849041,,
11/10/14,yellow,left,predorsal,"15,000",FRO,Dexter,DX14CS,captive spawn,0,56,San Marcial,3,hard release,YLD 2014,Y,L,D,2014,67.5,33.680714,-106.992979,,
11/24/14,yellow,left,predorsal,"5,000",FRO,Dexter,DX14CS,captive spawn,0,56,Sabinal Drain Outfall,2,hard release,YLD 2014,Y,L,D,2014,138.3,34.515528,-106.79369,,
11/24/14,yellow,left,predorsal,"27,230",FRO,Dexter,DX14CS,captive spawn,0,56,RGSM Sanctuary,1,hard release,YLD 2014,Y,L,D,2014,179.7,35.050491,-106.661063,,
10/19/15,orange,right,predorsal,"15,000",FRO,Dexter,DX15CS,captive spawn,0,,Santa Ana Pueblo,1,hard release,ORD 2015,O,R,D,2015,207.3,35.361835,-106.515229,,
10/19/15,orange,right,predorsal,"15,000",FRO,Dexter,DX15CS,captive spawn,0,,Sandia Pueblo,1,hard release,ORD 2015,O,R,D,2015,197.8,35.263284,-106.595205,,
10/19/15,orange,right,predorsal,"15,000",FRO,Dexter,DX15CS,captive spawn,0,,Alameda Bridge,1,hard release,ORD 2015,O,R,D,2015,191.1,35.193578,-106.644815,,
10/19/15,orange,right,predorsal,"14,357",FRO,Dexter,DX15CS,captive spawn,0,,RGSM Sanctuary,1,hard release,ORD 2015,O,R,D,2015,179.7,35.050491,-106.661063,,
11/13/15,yellow,right,predorsal,"8,760",FRO,LLSMR,DX15CS,captive spawn,0,,Los Lunas,2,hard release,YRD 2015,Y,R,D,2015,161.5,34.807714,-106.715694,,
11/13/15,white,right,predorsal,"21,311",FRO,Abq,ABP15-001,captive spawn,0,,Bernardo,2,hard release,WRD 2015,W,R,D,2015,131.1,34.413847,-106.801025,,
11/13/15,white,right,predorsal,"2,321",FRO,Abq,ABP12-004,captive spawn,0,,Sabinal Drain Outfall,2,hard release,WRD 2015,W,R,D,2015,138.3,34.515528,-106.79369,,
11/13/15,white,right,predorsal,58,FRO,Abq,ABP14-003,captive spawn,0,,Sabinal Drain Outfall,2,hard release,WRD 2015,W,R,D,2015,138.3,34.515528,-106.79369,,
11/13/15,white,right,predorsal,"18,621",FRO,Abq,ABP15-001,captive spawn,0,,Sabinal Drain Outfall,2,hard release,WRD 2015,W,R,D,2015,138.3,34.515528,-106.79369,,
11/19/15,white,right,predorsal,"22,614",FRO,Abq,ABP15-001,captive spawn,0,,Escondida,3,hard release,WRD 2015,W,R,D,2015,104.8,34.119931,-106.886929,,
11/20/15,white,right,predorsal,"24,529",FRO,Abq,ABP15-001,captive spawn,0,,1.5 mi below SADD,3,hard release,WRD 2015,W,R,D,2015,114.2,34.242004,-106.897156,,
11/23/15,white,right,predorsal,"4,762",FRO,Abq,ABP15-001,captive spawn,0,,Escondida,3,hard release,WRD 2015,W,R,D,2015,104.8,34.119931,-106.886929,,
11/23/15,orange,right,predorsal,"19,000",FRO,Dexter,DX15CS,captive spawn,0,62,North Boundary BDANWR,3,hard release,ORD 2015,O,R,D,2015,86.5,33.872501,-106.849041,,
11/23/15,orange,right,predorsal,"19,216",FRO,Dexter,DX15CS,captive spawn,0,62,San Marcial,3,hard release,ORD 2015,O,R,D,2015,67.5,33.680714,-106.992979,,
4/25/16,red,left,predorsal,"3,122",FRO,Dexter,WCDX-11/12,Wild caught ,3,,Alameda Bridge,1,hard release,RLD 2016,R,L,D,2016,191.1,35.193578,-106.644815,,
10/24/16,pink,left,predorsal,"10,880",FRO,Dexter,16SCDX,captive spawn,0,60,Santa Ana Pueblo,1,hard release,PLD 2016,P,L,D,2016,207.3,35.361835,-106.515229,,
10/24/16,green,left,predorsal,"10,000",FRO,Abq,ABP16-003,captive spawn,0,,Santa Ana Pueblo,3,hard release,GLD 2016,G,L,D,2016,207.3,35.361835,-106.515229,,
11/15/16,green,left,predorsal,"1,511",FRO,abq,ABP16-003/004,captive spawn,0,,South Boundary BdA,3,hard release,GLD 2016,G,L,D,2016,74,33.72163,-106.912266,,
11/15/16,green,left,predorsal,"29,489",FRO,Abq,ABP16-003,captive spawn,0,,South Boundary BdA,3,hard release,GLD 2016,G,L,D,2016,74,33.72163,-106.912266,,
11/17/16,green,left,predorsal,"2,000",FRO,Abq,ABP16-003,captive spawn,0,,Jarales Bridge,2,hard release,GLD 2016,G,L,D,2016,141.3,34.544047,-106.763675,,
11/29/16,green,left,predorsal,"12,000",FRO,Abq,ABP16-003,captive spawn,0,,San Marcial,3,hard release,GLD 2016,G,L,D,2016,67.5,33.680714,-106.992979,,
11/14/17,green,right,predorsal,"16,000",FRO,Dexter,17CSDX,captive spawn,0,60,North Socorro Diversion,3,hard release,GRD 2017,G,R,D,2017,103.2,34.096843,-106.879232,18,
11/14/17,green,right,predorsal,"16,000",FRO,Dexter,17CSDX,captive spawn,0,60,North Boundary BDANWR,3,hard release,GRD 2017,G,R,D,2017,86.5,33.872501,-106.849041,18,
11/14/17,green ,right,predorsal,"16,366",FRO,Dexter,17CSDX,captive spawn,0,60,1.5 mi below SADD,3,hard release,GRD 2017,G,R,D,2017,114.2,34.242004,-106.897156,18,
11/14/17,red,right,predorsal,"4,000",FRO,Abq,ABP17-001/002/003,captive spawn,0,60,North Socorro Diversion,3,hard release,RRD 2017,R,R,D,2017,103.2,34.096843,-106.879232,8,
11/14/17,red,right,predorsal,"4,000",FRO,Abq,ABP17-001/002/003,captive spawn,0,60,North Boundary BDANWR,3,hard release,RRD 2017,R,R,D,2017,86.5,33.872501,-106.849041,8,
11/14/17,red,right,predorsal,"4,000",FRO,Abq,ABP17-001/002/003,captive spawn,0,60,1.5 mi below SADD,3,hard release,RRD 2017,R,R,D,2017,114.2,34.242004,-106.897156,11,
2/15/18,green,left,predorsal,"5,000",FRO,Dexter,17CSDX,captive spawn,0,55,North Socorro Diversion,3,hard release,GLD 2018,G,L,D,2018,103.2,34.096843,-106.879232,,
2/15/18,green,left,predorsal,"4,500",FRO,Dexter,17CSDX,captive spawn,0,55,North Boundary BDANWR,3,hard release,GLD 2018,G,L,D,2018,86.5,33.872501,-106.849041,,
2/15/18,green,left,predorsal,"5,000",FRO,Dexter,17CSDX,captive spawn,0,55,1.5 mi below SADD,3,hard release,GLD 2018,G,L,D,2018,114.2,34.242004,-106.897156,,
2/15/18,red,left,predorsal,"6,000",FRO,Abq,ABP17-001/002/003,captive spawn,0,,North Socorro Diversion,3,hard release,RLD 2018,R,L,D,2018,103.2,34.096843,-106.879232,,
2/15/18,red,left,predorsal,"6,000",FRO,Abq,ABP17-001/002/003,captive spawn,0,,North Boundary BDANWR,3,hard release,RLD 2018,R,L,D,2018,86.5,33.872501,-106.849041,,
2/15/18,red,left,predorsal,"6,000",FRO,Abq,ABP17-001/002/003,captive spawn,0,,1.5 mi below SADD,3,hard release,RLD 2018,R,L,D,2018,114.2,34.242004,-106.897156,,
5/29/18,blue,left,predorsal,196,SWCA,BioPark,,broodstock,5,,SADD,3,hard,BLD 2018,B,L,D,2018,115.6,34.255859,-106.888848,,experimental PIT tagged fish
7/2/18,blue,Right and left,predorsal,540,SWCA,BioPark,,broodstock,5,,SADD,3,hard,BRD 2018,B,R,D,2018,115.6,34.255859,-106.888848,,experimental PIT tagged fish
10/22/18,yellow,left,predorsal,"20,000",FRO,Dexter,,captive spawn,0,45,Santa Ana Pueblo,1,hard release,YLD 2018,Y,L,D,2018,207.3,35.361835,-106.515229,,
10/22/18,yellow,left,predorsal,"20,000",FRO,Dexter,,captive spawn,0,45,Sandia Pueblo,1,hard release,YLD 2018,Y,L,D,2018,197.8,35.263284,-106.595205,,
10/22/18,yellow,left,predorsal,"20,000",FRO,Dexter,,captive spawn,0,45,Alameda Bridge,1,hard release,YLD 2018,Y,L,D,2018,191.1,35.193578,-106.644815,,
11/13/18,orange,left,predorsal,"1,100",FRO,LLSMR,,captive spawn,0,35,4 miles below SADD,3,hard release,OLD 2018,O,L,D,2018,111.9,34.216021,-106.88637,,
11/13/18,orange,left,predorsal,"1,100",FRO,LLSMR,,captive spawn,0,35,North Socorro Diversion,3,hard release,OLD 2018,O,L,D,2018,103.2,34.096843,-106.879232,,
11/13/18,orange,left,predorsal,"1,100",FRO,LLSMR,,captive spawn,0,35,North Boundary BDANWR,3,hard release,OLD 2018,O,L,D,2018,86.5,33.872501,-106.849041,,
11/14/18,yellow,left,predorsal,"7,000",FRO,Dexter,,captive spawn,0,,4 miles below SADD,3,hard release,YLD 2018,Y,L,D,2018,111.9,34.216021,-106.88637,,
11/14/18,yellow,left,predorsal,"7,000",FRO,Dexter,,captive spawn,0,,North Socorro Diversion,3,hard release,YLD 2018,Y,L,D,2018,103.2,34.096843,-106.879232,,
11/14/18,yellow,left,predorsal,"7,000",FRO,Dexter,,captive spawn,0,,North Boundary BDANWR,3,hard release,YLD 2018,Y,L,D,2018,86.5,33.872501,-106.849041,,
11/14/18,yellow,left,predorsal,"11,000",FRO,Dexter,,captive spawn,0,,Peralta area,2,hard release,YLD 2018,Y,L,D,2018,154.5,34.713442,-106.747205,,
11/14/18,yellow,left,predorsal,"11,000",FRO,Dexter,,captive spawn,0,,Jarales Bridge,2,hard release,YLD 2018,Y,L,D,2018,141.3,34.544047,-106.763675,,
11/14/18,yellow,left,predorsal,"11,000",FRO,Dexter,,captive spawn,0,,U.S. 60,2,hard release,YLD 2018,Y,L,D,2018,131.4,34.41817,-106.799453,,
11/15/18,white,left,predorsal,"6,000",FRO,Abq,,captive spawn,0,,3 miles below SADD,3,hard release,WLD 2018,W,L,D,2018,112.7,34.223267,-106.894409,,
11/15/18,white,left,predorsal,"6,000",FRO,Abq,,captive spawn,0,,North Socorro Diversion,3,hard release,WLD 2018,W,L,D,2018,103.2,34.096843,-106.879232,,
11/15/18,white,left,predorsal,"6,000",FRO,Abq,,captive spawn,0,,North Boundary BDANWR,3,hard release,WLD 2018,W,L,D,2018,86.5,33.872501,-106.849041,,
11/16/18,white,left,predorsal,"15,000",FRO,Abq,,captive spawn,0,,Alameda Bridge,1,hard release,WLD 2018,W,L,D,2018,191.1,35.193578,-106.644815,,
11/16/18,white,left,predorsal,"5,000",FRO,Abq,,captive spawn,0,,Jarales Bridge,2,hard release,WLD 2018,W,L,D,2018,141.3,34.544047,-106.763675,,
11/16/18,white,left,predorsal,"5,000",FRO,Abq,,captive spawn,0,,Peralta area,2,hard release,WLD 2018,W,L,D,2018,154.5,34.713442,-106.747205,,
11/16/18,white,left,predorsal,"5,000",FRO,Abq,,captive spawn,0,,U.S. 60,2,hard release,WLD 2018,W,L,D,2018,131.4,34.41817,-106.799453,,
2/13/19,yellow,right,predorsal,"7,300",FRO,Dexter,,captive spawn,0,,North Boundary BDANWR,3,hard release,YRD 2019,Y,R,D,2019,86.5,33.872501,-106.849041,,
2/13/19,yellow,right,predorsal,"7,300",FRO,Dexter,,captive spawn,1,,North Socorro Diversion,3,hard release,YRD 2019,Y,R,D,2019,103.2,34.096843,-106.879232,,
2/13/19,yellow,right,predorsal,"7,300",FRO,Dexter,,captive spawn,1,,4 miles below SADD,3,hard release,YRD 2019,Y,R,D,2019,111.9,34.216021,-106.88637,,
2/14/19,white,right,predorsal,"5,700",FRO,Abq,,captive spawn,1,,North Boundary BDANWR,3,hard release,WRD 2019,W,R,D,2019,86.5,33.872501,-106.849041,,
2/14/19,white,right,predorsal,"5,700",FRO,Abq,,captive spawn,1,,North Socorro Diversion,3,hard release,WRD 2019,W,R,D,2019,103.2,34.096843,-106.879232,,
2/14/19,white,right,predorsal,"5,700",FRO,Abq,,captive spawn,1,,4 miles below SADD,3,hard release,WRD 2019,W,R,D,2019,111.9,34.216021,-106.88637,,
2/15/19,orange,right,predorsal,945,FRO,LLSMR,,captive spawn,1,,North Boundary BDANWR,3,hard release,ORD 2019,O,R,D,2019,86.5,33.872501,-106.849041,,
2/15/19,orange,right,predorsal,949,FRO,LLSMR,,captive spawn,1,,North Socorro Diversion,3,hard release,ORD 2019,O,R,D,2019,103.2,34.096843,-106.879232,,
2/15/19,orange,right,predorsal,945,FRO,LLSMR,,captive spawn,1,,4 miles below SADD,3,hard release,ORD 2019,O,R,D,2019,111.9,34.216021,-106.88637,,
3/20/19,blue,right,predorsal,392,FRO,Dexter,,Dexter,1,58,RM 111.9,3,hard release,BRD 2019,B,R,D,2019,111.9,34.216021,-106.88637,,experimental PIT tagged fish
3/20/19,blue,right,predorsal,260,FRO,Dexter,,Dexter,1,58,RM 113.7,3,hard release,BRD 2019,B,R,D,2019,113.7,34.236263,-106.898519,,experimental PIT tagged fish
3/20/19,blue,right,predorsal,312,FRO,Dexter,,Dexter,1,58,RM 115.5,3,hard release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,,experimental PIT tagged fish
3/20/19,blue,right,predorsal,247,SWCA,BioPark,,BioPark,5,,RM 111.9,3,hard release,BRD 2019,B,R,D,2019,111.9,34.216021,-106.88637,,experimental PIT tagged fish
3/20/19,blue,right,predorsal,252,SWCA,BioPark,,BioPark,5,,RM 113.7,3,hard release,BRD 2019,B,R,D,2019,113.7,34.236263,-106.898519,,experimental PIT tagged fish
3/20/19,blue,right,predorsal,238,SWCA,BioPark,,BioPark,5,,RM 115.5,3,hard release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,,experimental PIT tagged fish
10/7/19,blue,right,predorsal,234,SWCA,BioPark,,BioPark,5,,RM 115.5,3,Bag release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,14.4,experimental PIT tagged fish
11/20/19,blue,right,predorsal,"2,424",FRO,Dexter,,Dexter,1,,RM 111.9,3,hard release,BRD 2019,B,R,D,2019,111.9,34.216021,-106.88637,,experimental PIT tagged fish
11/20/19,blue,right,predorsal,"2,425",FRO,Dexter,,Dexter,1,,RM 113.7,3,hard release,BRD 2019,B,R,D,2019,113.7,34.236263,-106.898519,,experimental PIT tagged fish
11/20/19,blue,right,predorsal,"2,430",FRO,Dexter,,Dexter,1,,RM 115.5,3,hard release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,,experimental PIT tagged fish
11/20/19,blue,right,predorsal,"2,603",FRO,Dexter,,Dexter,1,,RM 119,2,hard release,BRD 2019,B,R,D,2019,118.9,34.275162,-106.855906,,experimental PIT tagged fish
11/19/19,red,right,predorsal,"6,073",FRO,Dexter,,Dexter,0,45,RM 86.3,3,hard release,RRD 2019,R,R,D,2019,86.3,33.869733,-106.847961,,
11/19/19,red,right,predorsal,"6,154",FRO,Dexter,,Dexter,0,45,North Socorro Diversion,3,hard release,RRD 2019,R,R,D,2019,103.2,34.096843,-106.879232,,
11/19/19,red,right,predorsal,"6,127",FRO,Dexter,,Dexter,0,45,RM 113.7,3,hard release,RRD 2019,R,R,D,2019,113.7,34.236263,-106.898519,,
11/21/19,red,right,predorsal,"5,000",FRO,Abq,,BioPark,0,35,RM 86.3,3,hard release,RRD 2019,R,R,D,2019,86.3,33.869733,-106.847961,,
11/21/19,red,right,predorsal,"5,000",FRO,Abq,,BioPark,0,35,North Socorro Diversion,3,hard release,RRD 2019,R,R,D,2019,103.2,34.096843,-106.879232,,
11/21/19,red,right,predorsal,"5,000",FRO,Abq,,BioPark,0,35,RM 113.7,3,hard release,RRD 2019,R,R,D,2019,113.7,34.236263,-106.898519,,
11/22/19,pink,right,predorsal,"2,841",FRO,LLSMR,,LLSMR,0,38,RM 86.3,3,hard release,PRD 2019,P,R,D,2019,86.3,33.869733,-106.847961,,
11/22/19,pink,right,predorsal,"2,841",FRO,LLSMR,,LLSMR,0,38,North Socorro Diversion,3,hard release,PRD 2019,P,R,D,2019,103.2,34.096843,-106.879232,,
11/22/19,pink,right,predorsal,"2,750",FRO,LLSMR,,LLSMR,0,38,RM 113.7,3,hard release,PRD 2019,P,R,D,2019,113.7,34.236263,-106.898519,,
2/12/20,pink,left,predorsal,"2,000",FRO,LLSMR,,LLSMR,0,38,RM 86.3,3,hard release,PLD 2020,P,L,D,2020,86.3,33.869733,-106.847961,2.9,
2/12/20,pink,left,predorsal,"2,000",FRO,LLSMR,,LLSMR,0,38,North Socorro Diversion,3,hard release,PLD 2020,P,L,D,2020,103.2,34.096843,-106.879232,,
2/12/20,pink,left,predorsal,"1,700",FRO,LLSMR,,LLSMR,0,38,RM 113.7,3,hard release,PLD 2020,P,L,D,2020,113.7,34.236263,-106.898519,,
2/12/20,red,left,predorsal,"5,000",FRO,Abq,,BioPark,0,38,RM 86.3,3,hard release,RLD 2020,R,L,D,2020,86.3,33.869733,-106.847961,,
2/12/20,red,left,predorsal,"5,000",FRO,Abq,,BioPark,0,38,North Socorro Diversion,3,hard release,RLD 2020,R,L,D,2020,103.2,34.096843,-106.879232,,
2/12/20,red,left,predorsal,"5,000",FRO,Abq,,BioPark,0,38,RM 113.7,3,hard release,RLD 2020,R,L,D,2020,113.7,34.236263,-106.898519,,
2/12/20,red,left,predorsal,"6,178",FRO,Dexter,,Dexter,0,38,RM 86.3,3,hard release,RLD 2020,R,L,D,2020,86.3,33.869733,-106.847961,,
2/12/20,red,left,predorsal,"6,021",FRO,Dexter,,Dexter,0,38,North Socorro Diversion,3,hard release,RLD 2020,R,L,D,2020,103.2,34.096843,-106.879232,,
2/12/20,red,left,predorsal,"6,054",FRO,Dexter,,Dexter,0,38,RM 113.7,3,hard release,RLD 2020,R,L,D,2020,113.7,34.236263,-106.898519,,
3/23/20,blue,left,predorsal,"1,782",FRO,Dexter,,Dexter,2,60,RM 111.9,3,hard release,BLD 2020,B,L,D,2020,111.9,34.216021,-106.88637,,experimental PIT tagged fish
3/23/20,blue,left,predorsal,"2,213",FRO,Dexter,,Dexter,2,60,RM 113.7,3,hard release,BLD 2020,B,L,D,2020,113.7,34.236263,-106.898519,,experimental PIT tagged fish
3/23/20,blue,left,predorsal,"2,193",FRO,Dexter,,Dexter,2,60,RM 115.6,3,hard release,BLD 2020,B,L,D,2020,115.6,34.255859,-106.888848,,experimental PIT tagged fish
3/23/20,blue,left,predorsal,"1,747",FRO,Dexter,,Dexter,2,60,RM 118.9,3,hard release,BLD 2020,B,L,D,2020,118.9,34.275162,-106.855906,,experimental PIT tagged fish
11/16/20,yellow,left,predorsal,783,FRO,Abq,ABP19-1CS,BioPark,1,,Central bridge,1,hard release,YLD 2020,Y,L,D,2020,182.8,35.088992,-106.680414,,
11/16/20,yellow,left,predorsal,"16,217",FRO,Abq,ABP20-3CS,BioPark,0,,Central bridge,1,hard release,YLD 2020,Y,L,D,2020,182.8,35.088992,-106.680414,,
11/16/20,yellow,left,predorsal,"17,000",FRO,Abq,ABP20-3CS,BioPark,0,,Peralta area,2,hard release,YLD 2020,Y,L,D,2020,154.5,34.713442,-106.747205,,
11/30/20,yellow,left,predorsal,"17,000",FRO,Abq,ABP20-3CS,BioPark,0,,North Boundary BDANWR,3,hard release,YLD 2020,Y,L,D,2020,86.3,33.869733,-106.847961,,
11/17/20,green,left,predorsal,"6,444",FRO,LLSMR,LLSRM20F1,LLSMR,0,,Alameda Bridge,1,hard release,GLD 2020,G,L,D,2020,191.1,35.193578,-106.644815,,
11/17/20,green,left,predorsal,"6,444",FRO,LLSMR,LLSRM20F1,LLSMR,0,,Jarales Bridge,2,hard release,GLD 2020,G,L,D,2020,141.3,34.544047,-106.763675,,
11/17/20,green,left,predorsal,"6,444",FRO,LLSMR,LLSRM20F1,LLSMR,0,,RM 113.7,3,hard release,GLD 2020,G,L,D,2020,113.7,34.236263,-106.898519,,
11/19/20,red,left,predorsal,"13,500",FRO,Dexter,20CSDX,Dexter,0,,Santa Ana Pueblo,1,hard release,RLD 2020,R,L,D,2020,207.3,35.361835,-106.515229,,
11/19/20,red,left,predorsal,"13,500",FRO,Dexter,20CSDX,Dexter,0,,North Socorro Diversion,3,hard release,RLD 2020,R,L,D,2020,103.2,34.096843,-106.879232,,
11/19/20,red,left,predorsal,"13,500",FRO,Dexter,20CSDX,Dexter,0,,Sevilleta,2,hard release,RLD 2020,R,L,D,2020,119,34.275641,-106.854455,,
11/19/20,,,,"45,721",FRO,Dexter,20CSDX,Dexter,0,,North Socorro Diversion,3,hard release,none 2020,,,,2020,103.2,34.096843,-106.879232,,
11/19/20,,,,"47,002",FRO,Dexter,20CSDX,Dexter,0,,Sevilleta,2,hard release,none 2020,,,,2020,119,34.275641,-106.854455,,
11/19/20,,,,"46,583",FRO,Dexter,20CSDX,Dexter,0,,Santa Ana,1,hard release,none 2020,,,,2020,207.3,35.361835,-106.515229,,
12/2/20,red,left,predorsal,"19,308",FRO,Dexter,20CSDX,Dexter,0,,Alameda Bridge,1,hard release,RLD 2020,R,L,D,2020,191.1,35.193578,-106.644815,,
3/23/21,blue,right,predorsal,977,FRO,Dexter,19CSDX,Dexter,2,,North Boundary BDANWR,3,,BRD 2021,B,R,D,2021,86.6,33.873983,-106.84942,,experimental PIT tagged fish
3/23/21,blue,right,predorsal,970,FRO,Dexter,19CSDX,Dexter,2,,North Socorro Diversion,3,,BRD 2021,B,R,D,2021,103.3,34.098252,-106.879828,,experimental PIT tagged fish
3/23/21,blue,right,predorsal,988,FRO,Dexter,19CSDX,Dexter,2,,RM 113.7,3,,BRD 2021,B,R,D,2021,113.7,34.236263,-106.898519,,experimental PIT tagged fish
3/23/21,blue,right,predorsal,967,FRO,Dexter,19CSDX,Dexter,2,,Sevilleta,2,,BRD 2021,B,R,D,2021,118.9,34.275162,-106.855906,,experimental PIT tagged fish
3/23/21,blue,right,predorsal,971,FRO,Dexter,19CSDX,Dexter,2,,U.S. 60,2,,BRD 2021,B,R,D,2021,131.3,34.416728,-106.800006,,experimental PIT tagged fish
11/10/21,red,right,predorsal,"6,134",FRO,Dexter,21CSDX,Dexter,0,,Santa Ana,1,hard release,RRD 2021,R,R,D,2021,206.8,35.357242,-106.519941,,
11/10/21,,,,"27,524",FRO,Dexter,21CSDX,Dexter,0,,Santa Ana,1,hard release,none 2021,,,,2021,206.8,35.357242,-106.519941,,
11/10/21,red,right,predorsal,"10,537",FRO,Dexter,21CSDX,Dexter,0,,Sevilleta,2,hard release,RRD 2021,R,R,D,2021,119,34.275641,-106.854455,,
11/10/21,,,,"51,523",FRO,Dexter,21CSDX,Dexter,0,,Sevilleta,2,hard release,none 2021,,,,2021,119,34.275641,-106.854455,,
11/10/21,red,right,predorsal,"4,167",FRO,Dexter,21CSDX,Dexter,0,,RM 113.7,3,hard release,RRD 2021,R,R,D,2021,113.7,34.236263,-106.898519,,
11/10/21,,,,"20,578",FRO,Dexter,21CSDX,Dexter,0,,RM 113.7,3,hard release,none 2021,,,,2021,113.7,34.236263,-106.898519,,
11/23/21,green,right,predorsal,"10,292",FRO,LLSMR,,LLSMR,0,,Alameda Bridge,1,hard release,GRD 2021,G,R,D,2021,191.1,35.193578,-106.644815,,
11/23/21,green,right,predorsal,"10,290",FRO,LLSMR,,LLSMR,0,,Brown's Arroyo,3,hard release,GRD 2021,G,R,D,2021,95.7,34.001404,-106.870411,,
11/23/21,green,right,predorsal,"10,290",FRO,LLSMR,,LLSMR,0,,Peralta area,2,hard release,GRD 2021,G,R,D,2021,154.5,34.713442,-106.747205,,
11/30/21,yellow,right,predorsal,"14,000",FRO,Abq,ABP20-3CS/ABP20-WI/APB21-2WS/APB214.5CS,BioPark,0-1,,Central bridge,1,hard release,YRD 2021,Y,R,D,2021,182.8,35.088992,-106.680414,,
11/30/21,yellow,right,predorsal,"14,000",FRO,Abq,ABP20-3CS/ABP20-WI/APB21-2WS/APB214.5CS,BioPark,0-1,,Jarales Bridge,2,hard release,YRD 2021,Y,R,D,2021,141.3,34.544047,-106.763675,,
11/29/21,yellow,right,predorsal,"14,000",FRO,Abq,ABP20-3CS/ABP20-WI/APB21-2WS/APB214.5CS,BioPark,0-1,,North Boundary BDANWR,3,hard release,YRD 2021,Y,R,D,2021,86.3,33.869733,-106.847961,,
12/6/21,blue,right,predorsal,"3,402",FRO,Dexter,20CSDX,Dexter,1,,RM 113.7,3,hard release,BRD 2021,B,R,D,2021,113.7,34.236263,-106.898519,,experimental PIT tagged fish
12/6/21,blue,right,predorsal,"2,105",FRO,Dexter,20CSDX,Dexter,1,,RM 119,2,hard release,BRD 2021,B,R,D,2021,118.9,34.275162,-106.855906,,experimental PIT tagged fish
12/6/21,blue,right,predorsal,"1,974",FRO,Dexter,20CSDX,Dexter,1,,RM 141.3,2,hard release,BRD 2021,B,R,D,2021,141.3,34.544047,-106.763675,,experimental PIT tagged fish
12/6/21,blue,right,predorsal,"1,857",FRO,Dexter,20CSDX,Dexter,1,,Peralta area,2,hard release,BRD 2021,B,R,D,2021,154.5,34.713442,-106.747205,,experimental PIT tagged fish
12/8/21,double green,right,predorsal,512,FRO,LLSMR,"Retired broodstock; mixed wildcaught lot, 2018, 2019, 2020",LLSMR,1-3,,Brown's Arroyo,3,hard release,DRD 2021,D,R,D,2021,95.7,34.001404,-106.870411,,
